Date	Device Name	Description	Novel	Author	Built?	By Whom?	Product	First Year Made	Additional Details	Bits or Atoms?	Companies Working on This	Link to Doc With Technical Details	Requires Changes to Laws of Physics
	1634	Weightlessness (Kepler)	The notion that there could be a location with zero effective gravity.	Somnium (The Dream)	Johannes Kepler	Yes	NASA, Roscosmos	International Space Station	1998	N/A	Atoms			
	1638	Weightlessness in Space	This appears to be the first description of the idea of weightlessness in space.	The Man in the Moone	Francis Godwin	Yes	NASA, Roscosmos	International Space Station	1998	N/A	Atoms			
	1638	Gansas	Migratory birds that fly all the way to the Moone.	The Man in the Moone	Francis Godwin	No	N/A	N/A	N/A	Fictional	Atoms			
	1657	Moon Machine	A device that could power a man from the surface of the Earth to that of the Moon.	A Voyage to the Moon	Cyrano de Bergerac	No	N/A	N/A	N/A	Fictional	Atoms			
	1705	Cogitator (The Chair of Reflection)	A device which improves the rationality of the thinking processes.	The Consolidator	Daniel Defoe	No	N/A	N/A	N/A	Fictional	Atoms			
	1726	Knowledge Engine	The first reference to a machine that could create sentences or write books.	Gulliver's Travels	Jonathan Swift	Yes	Google	Search engine	1998	N/A	Bits			
	1726	Geometric Modeling	The first recorded use of geometric figures to directly represent, or model, living beings.	Gulliver's Travels	Jonathan Swift	Yes	Autodesk, Dassault	3D modeling software	1982	N/A	Bits			
	1726		The first reference to extracting electricity from organic materials.	Gulliver's Travels	Jonathan Swift	Yes	Various	Biofuel production	1895	First commercial production of biofuel	Atoms			
	1726	Laputa	A floating island or rock in the air.	Gulliver's Travels	Jonathan Swift	No	N/A	N/A	N/A	Fictional	Atoms			
	1727	Androide	Ephraim Chambers	Cyclopaedia	Ephraim Chambers	Yes	Honda, Boston Dynamics	Humanoid robots	2000s	ASIMO, Atlas	Atoms			
	1828	Stage Balloon	A regular means of conveyance, like a train or carriage.	The Mummy! A Tale of the Twenty-Second Century	Jane Webb Loudon	No	N/A	N/A	N/A	Fictional	Atoms			
	1828	Mail-Post Letter-Ball	A system of sending mail quickly from town to town via steam-cannon-powered hollow spheres.	The Mummy! A Tale of the Twenty-Second Century	Jane Webb Loudon	No	N/A	N/A	N/A	Fictional	Atoms			
	1828	Barrels of Air	A very early mention of a means for breathing once above the Earth's atmosphere.	The Mummy! A Tale of the Twenty-Second Century	Jane Webb Loudon	No	N/A	N/A	N/A	Fictional	Atoms			
	1828	Steam-Propelled Moving Houses	Otherwise ordinary residences that move from place to place, powered by steam.	The Mummy! A Tale of the Twenty-Second Century	Jane Webb Loudon	No	N/A	N/A	N/A	Fictional	Atoms			
	1846	Express Dolphin	A most agreeable means of locomotion under the waves.	Le Monde Tel Qu'il Sera (The World As It Shall Be)	Emile Souvestre	No	N/A	N/A	N/A	Fictional	Atoms			
	1846	Steam Horse	A remarkable mechanical beast.	Le Monde Tel Qu'il Sera (The World As It Shall Be)	Emile Souvestre	No	N/A	N/A	N/A	Fictional	Atoms			
	1846	Passenger-Carrying Mortar	A unique way of crossing a river, without a boat or a bridge.	Le Monde Tel Qu'il Sera (The World As It Shall Be)	Emile Souvestre	No	N/A	N/A	N/A	Fictional	Atoms			
	1846	Feeding Room	An automated child care.	Le Monde Tel Qu'il Sera (The World As It Shall Be)	Emile Souvestre	No	N/A	N/A	N/A	Fictional	Atoms			
	1864	Whispering Gallery	A means of communication in specifically shaped spaces.	Journey to the Center of the Earth	Jules Verne	Yes	Various	Architectural acoustics	19th century	N/A	Atoms			
	1866	Paper Steel	Specially treated paper that forms material as hard as steel.	Robur-the-Conqueror	Jules Verne	No	N/A				Atoms		think the key is the coating here...	
	1867	Light Pressure Propulsion	First mention of the idea that light itself could be a form of propulsion for spacecraft.	From the Earth to the Moon	Jules Verne	Yes	NASA, JAXA	Solar sails	2010s	IKAROS, LightSail	Atoms			
	1867	Air Renewal	Re-oxygenating the air within the projectile spacecraft.	From the Earth to the Moon	Jules Verne	Yes	NASA, Roscosmos	Life support systems	1960s	On spacecraft like Soyuz	Atoms			
	1867	Splashdown	The use of water as a medium for landing one's space ship in.	From the Earth to the Moon	Jules Verne	Yes	NASA	Ocean landing	1960s	Used for early crewed spaceflights	Atoms			
	1867	Free Return Trajectory	The idea that it would be possible for a projectile to go around the Moon and then return to Earth.	From the Earth to the Moon	Jules Verne	Yes	NASA, JAXA	Free return trajectories	1960s	Used on Apollo missions	Atoms			
	1867	Retro-Rockets	Small boosters to provide a thrust counter to the current velocity of the spacecraft, slowing it down or stopping its progress altogether.	From the Earth to the Moon	Jules Verne	Yes	NASA, SpaceX	Retro-rockets	1960s	Used on spacecraft for maneuvering and landing	Atoms			
	1867	Communicate with Extraterrestrials	Early plan to communicate with life on planets removed from the earth.	From the Earth to the Moon	Jules Verne	Yes	NASA, SETI	Communication initiatives	1960s	Efforts like SETI and messaging space probes	Bits			
	1867	Weightlessness	The state experienced in free fall; a space traveler's weight is apparently reduced to zero.	From the Earth to the Moon	Jules Verne	Yes	NASA, Roscosmos	Experiencing weightlessness	1961	First human spaceflight by Yuri Gagarin	Atoms			
	1867	Projectile-Vehicle	A projectile, or shot, capable of enclosing passengers and being safely hurled to the moon by an enormous cannon.	From the Earth to the Moon	Jules Verne	No	N/A	N/A	N/A	Fictional	Atoms			
	1867	Launching Facility	A specific spot with support for a space launch.	From the Earth to the Moon	Jules Verne	No	N/A	N/A	N/A	Fictional	Atoms			
	1867	Columbiad	An enormous cannon, sufficient in size to send a projectile to the Moon.	From the Earth to the Moon	Jules Verne	No	N/A	N/A	N/A	Fictional	Atoms			
